Nome;Tipo;Rarità;Fase;PV;Ability;Mossa 1;Danno 1;Costo 1;Mossa 2;Danno 2;Costo 2;Debolezza;Resistenza;Costo ritirata;Ability effect;Effetto Mossa1;Effetto Mossa2
Aerodactyl;Fighting;Holo Rare;1;60;Prehistoric Power;Wing Attack;30;3 ANY;;;;Grass;Fighting -30;2 ANY;No more Evolution cards can be played. This power stops working while Aerodactyl is Asleep, Confused, or Paralyzed.;;
Articuno;Water;Holo Rare;Base;70;;Freeze Dry;30;3 Water;Blizzard;50;4 Water;;Fighting -30;2 ANY;;Flip a coin. If heads, the Defending Pokémon is now Paralyzed.;Flip a coin. If heads, this attack does 10 damage to each of your opponent's Benched Pokémon. If tails, this attack does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
Ditto;Normal;Holo Rare;Base;50;Transform;;;;;;;Fighting;Psychic - 30;1 ANY;If Ditto is your Active Pokémon, treat it as if it were the same card as the Defending Pokémon, including type, Hit Points, Weakness, and so on, except Ditto can't evolve, always has this Pokémon Power, and you may treat any Energy attached to Ditto as Energy of any type. Ditto isn't a copy of any other Pokémon while Ditto is Asleep, Confused, or Paralyzed.;;
Dragonite;Normal;Holo Rare;2;100;Step In;Slam;40x;4 ANY;;;;;Fighting - 30;1 ANY;Once during your turn (before your attack), if Dragonite is on your Bench, you may switch it with your Active Pokémon.;Flip 2 coins. This attack does 40 damage times the number of heads.;
Gengar;Psychic;Holo Rare;2;80;Curse;Dark Mind;30;3 Psychic;;;;;Fighting - 30;1 ANY;Once during your turn (before your attack), you may move 1 damage counter from 1 of your opponent's Pokémon to another (even if it would Knock Out the other Pokémon). This power can't be used if Gengar is Asleep, Confused, or Paralyzed.;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.);
Haunter;Psychic;Holo Rare;1;50;Transparency;Nightmare;10;1 Psychic 1 ANY;;;;;Fighting - 30;;Whenever an attack does anything to Haunter, flip a coin. If heads, prevent all effects of that attack, including damage, done to Haunter. This power stops working while Haunter is Asleep, Confused, or Paralyzed.;The Defending Pokémon is now Asleep.;
Hitmonlee;Fighting;Holo Rare;Base;60;;Stretch Kick;;2 Fighting;High Jump Kick;50;3 Fighting;Psychic;;1 ANY;;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.);
Hypno;Psychic;Holo Rare;1;90;;Prophecy;;1 Psychic ;Dark Mind;30;3 Psychic;Psychic;;2 ANY;;Look at up to 3 cards from the top of either player's deck and rearrange them as you like.;If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)
Kabutops;Fighting;Holo Rare;2;60;;Sharp Sickle;30;2 Fighting;Absorb;40;4 Fighting;Grass;;2 ANY;;;Remove a number of damage counters from Kabutops equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10). If Kabutops has fewer damage counters than that, remove all of them.
Lapras;Water;Holo Rare;Base;80;;Water Gun;10+;1 Water;Confuse Ray;10;2 Water;Electric;;2 ANY;;Does 10 damage plus 10 more damage for each water energy attached to Lapras but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way. ;Flip a coin. If heads, the Defending Pokémon is now Confused.
